"CMTE_ID","AMNDT_IND","RPT_YR","RPT_TP","IMAGE_NUM","LINE_NUM","FORM_TP_CD","SCHED_TP_CD","NAME","CITY","STATE","ZIP_CODE","TRANSACTION_DT","TRANSACTION_AMT","TRANSACTION_PGI","PURPOSE","CATEGORY","CATEGORY_DESC","MEMO_CD","MEMO_TEXT","ENTITY_TP","SUB_ID","FILE_NUM","TRAN_ID","BACK_REF_TRAN_ID"
"C00548198","N","2015","M5","15951401809","21B","F3X","SB","BANK OF AMERICA","WASHINGTON","DC","20008","04/02/2015","86.79","","BANK FEES","001","Administrative/Salary/Overhead Expenses","","BANK FEES","ORG","4052020151243855450","1008296","7011047",""
"C00243428","N","2015","Q1","15951155581","17","F3","SB","AMERICAN EXPRESS","NEWARK","NJ","071011270","01/27/2015","194.74","G","CREDIT CARD BILL","001","Administrative/Salary/Overhead Expenses","","","ORG","4041620151241936400","1003606","SB17.4560",""
"C00476317","N","2015","Q2","201507200200205933","17","F3","SB","THE RIZZO DUKES GROUP","ALEXANDRIA","VA","223081072","05/07/2015","15300","","FUNDRAISING","003","Solicitation and Fundraising Expenses","","","","2073120151248172217","1019606","SB0731155933465",""
"C00040857","A","2015","M5","201507169000255569","21B","F3X","SB","J, WILLIAM","WARREN","MI","48088","04/25/2015","60","","VOUCHER PRIZE PAYOUTS","","","","","IND","4071620151247318516","1016072","D512144",""
"C00040857","A","2015","M3","201507169000244776","21B","F3X","SB","JONES, CATHIE","WARREN","MI","480894459","02/28/2015","259.75","","VOUCHER PRIZE PAYOUTS","","","","","IND","4071620151247315394","1015861","D510082",""
"C00193433","N","2015","M7","201507179000261328","21B","F3X","SB","COOPER, LIZZIE","CROSS RIVER","NY","10518","06/30/2015","3018.32","","SALARIES","","","","","IND","4072320151247876409","1016146","SB21B-252500",""
"C00450239","N","2015","MY","201507169000248867","21B","F3X","SB","NOLAN, MICHAEL J.","TRAVERSE CITY","MI","49684","06/01/2015","413.25","","IN-KIND - CIGARS","","","","","IND","4071720151247465238","1015983","SB21B.4156",""
"C00259481","N","2015","M3","15970305105","21B","F3X","SB","US AIR","WASHINGTON","DC","200014545","02/17/2015","18","","TRANSPORTATION","","","X","*","ORG","4031920151240867926","998320","VNH179YJF89","VNH179YJER2"
"C00003418","A","2015","M2","15970302620","21B","F3X","SB","SARAH BALDWIN PHOTOGRAPHY LLC","KENOSHA","WI","53140","01/26/2015","1957.28","","PHOTOGRAPHY SERVICES","","","","","ORG","4031920151240865316","998013","2015M02L2100658",""
"C00511600","N","2015","MY","201507319000487544","21B","F3X","SB","WELLS FARGO","WASHINGTON","DC","200053000","03/31/2015","14","","BANK FEE","","","","","ORG","4073120151248150269","1019733","VN7E59YY6R1",""
"C00193433","N","2015","M7","201507179000261104","21B","F3X","SB","EGAN, PEGGY","BIGFORK","MT","59911","06/15/2015","2690.6","","SALARIES","","","","","IND","4072320151247875739","1016146","SB21B-251426",""
"C00364935","N","2015","Q2","201507159000168980","17","F3","SB","ATLANTIC BROADBAND","PITTSBURGH","PA","15250","06/12/2015","351.48","","INTERNET","001","Administrative/Salary/Overhead Expenses","","","ORG","4071620151247286961","1015213","SB17.110326",""
"C00577122","A","2015","12S","15951518267","17","F3","SB","VISTA PRINT","LEXINGTON","MA","02421","05/12/2015","214.91","S","PENS WITH ADVERTISEMENT","004","Advertising Expenses","","","ORG","4062520151245936007","1011594","SB17.4160",""
"C00024679","N","2015","M2","15950620916","21B","F3X","SB","HALVORSON'S UPSTREET CAFE","BURLINGTON","VT","054014406","01/15/2015","100","","VENUE RENTAL DEPOSIT","","","","","ORG","4021820151239027313","993694","D619197",""
"C00460147","N","2015","M5","15971079174","21B","F3X","SB","BAUER, PATRICK W.","PARK CITY","UT","84060","04/01/2015","45.77","","TRAVEL FUEL","","","","","IND","4052120151243877634","1008671","SB21B-9192",""
"C00458976","N","2015","Q2","201507159000167412","17","F3","SB","RENAISSANCE HOTEL","MONTGOMERY","AL","36104","06/01/2015","254.66","P","HOTEL","002","Travel Expenses","","","ORG","4071520151247148440","1015178","D610923",""
"C00563759","N","2015","MY","201507279000428217","21B","F3X","SB","NATIONAL CAPITAL BANK","WASHINGTON","DC","20003","03/20/2015","576","","BANK CHARGE","","","","","ORG","4072820151247972988","1018228","SB21B.179166",""
"C00358952","N","2015","Q1","15970348956","17","F3","SB","PERKINS COIE LLP","SEATTLE","WA","981013029","02/19/2015","2003.18","P","LEGAL & COMPLIANCE SERVICES","","","","","ORG","4042020151242081260","1003396","D426085",""
"C00476291","N","2015","Q2","201507159000179836","17","F3","SB","BEENE GARTER","GRAND RAPIDS","MI","495034078","04/17/2015","62.11","P","PAYROLL SERVICES","","","","","ORG","4071720151247454771","1015363","BF7428510CEB24DA0BC8",""
"C00075820","A","2015","M7","201507279000427661","21B","F3X","SB","SMS DIRECT INC","MANASSAS","VA","20109","06/02/2015","9223.98","","POSTAGE","","","","","ORG","4072820151247972113","1018208","SB21-0.043452",""
"C00521039","N","2015","MY","201507279000421989","21B","F3X","SB","PLATINUM CHOICE BANCARD","WEST ORANGE","NJ","07052","04/02/2015","10.35","","CREDIT CARD PROCESSING FEE","003","Solicitation and Fundraising Expenses","","","ORG","4072720151247938763","1018045","SB21B.5385",""
"C00575795","N","2015","Q2","201507159000217915","23","F3P","SB","MARCOUX, ASHLEY","NEW YORK","NY","101855256","06/30/2015","60","P","PHONE","001","Administrative/Salary/Overhead Expenses","","","IND","4071720151247457965","1015585","D6752",""
"C00277335","N","2015","M7","201507179000274350","21B","F3X","SB","KIDWELL, BRYCE","FAIRFAX","VA","22030","06/30/2015","1000","","CONSULTING SERVICES","","","","","IND","4072020151247534541","1016413","SB21B.27266",""
"C00466854","N","2015","Q1","15951161461","17","F3","SB","FEC FINANCIAL INC.","STERLING","VA","20165","02/10/2015","1050","P","ACCOUNTING SERVICES","001","Administrative/Salary/Overhead Expenses","X","","ORG","4042020151242086262","1003826","SB17-EX2398",""
"C00492645","N","2015","Q1","15020133527","17","F3","SB","PAYCHEX","FAIRFAX","VA","22031","01/30/2015","171.92","O","PAYROLL TAXES","","","","","","2042920151242352339","1006000","SB0428153527493",""
"C00503094","N","2015","Q1","15951144955","17","F3","SB","UBER TECHNOLOGIES, INC","SAN FRANCISCO","CA","94105","03/18/2015","16","","TRANSPORTATION","","","","","ORG","4041520151241885157","1003144","SB17.12163",""
"C00074450","N","2015","M7","201507209000348799","21B","F3X","SB","PIRYX","SAN FRANCISCO","CA","94105","06/02/2015","2.8","","CREDIT CARD PROCESSING FEE","","","","","ORG","4072120151247613203","1017067","SB21B.I21992",""
"C00460147","N","2015","M4","15970656709","21B","F3X","SB","GRAVES, DONET D.","NORTH BETHESDA","MD","20852","03/26/2015","22.9","","TRAVEL EXPENSE","","","","","IND","4042120151242131786","1005176","SB21B-9162",""
"C00200584","N","2015","Q1","15951157620","17","F3","SB","PRIORITY HEALTH","GRAND RAPIDS","MI","495254501","01/06/2015","278.31","","HEALTH INSURANCE - EMPL BENEFITS PK","","","","HEALTH INSURANCE - EMPL BENEFITS PK","ORG","4041620151241937586","1003703","50325.E19716",""
"C00308742","N","2015","Q1","15951171505","17","F3","SB","AT&T","CAROL STREAM","IL","60197","02/20/2015","1023.47","P","TELEPHONE SERVICES","","","","","ORG","4041620151241945150","1004144","D258650",""
"C00435099","N","2015","Q1","15951165886","17","F3","SB","HUNTLEY, BENJAMIN","CHICAGO","IL","60622","01/15/2015","1800.2","P","PAYROLL","","","","","IND","4041720151242011732","1003975","D619564",""
"C00000935","N","2015","M3","15951091316","21B","F3X","SB","ENGLISH, BRANDON","WASHINGTON","DC","20003","02/25/2015","6740.8","","PAYROLL","001","Administrative/Salary/Overhead Expenses","","","IND","4032620151240985731","999261","SB21B-933092",""
"C00321943","N","2015","M6","15951471141","21B","F3X","SB","S&S PRINTERS","ANAHEIM","CA","92801","05/05/2015","1458","","BROCHURES","004","Advertising Expenses","","","ORG","4061620151245726754","1010409","EXPB2185",""
"C00464297","A","2015","Q1","15020135330","17","F3","SB","ADP","NOTTINGHAM","MD","212364907","03/27/2015","51.8","","PAYROLL SERVICE","001","Administrative/Salary/Overhead Expenses","","","","1071620150017646618","1006803","SB05061553301081",""
"C00559021","N","2015","MY","201507109000081850","21B","F3X","SB","SANDERS, KAREN","CRESCENT CITY","CA","955313072","03/23/2015","300","","MEETING LODGING","","","","","IND","4071320151246980825","1013378","SB21B-11-382-E",""
"C00003111","N","2015","M6","15951469803","21B","F3X","SB","ANEDOT","BATON ROUGE","LA","70808","05/14/2015","4.8","","MERCHANT FEES","","","","","ORG","4061520151245707147","1010367","SB21B.13381",""
"C00273169","N","2015","Q1","15951156780","17","F3","SB","R.E., ALLEGRO","NEW YORK","NY","10025","03/13/2015","200","P","TRAVEL REIMBURSEMENT","001","Administrative/Salary/Overhead Expenses","","","IND","4042020151242083834","1003673","D429183",""
"C00458000","N","2015","MY","201507299000449501","21B","F3X","SB","KEVIN FRANCK","BOSTON","MA","02128","04/28/2015","2000","","STRATEGIC CONSULTING","","","","","ORG","4073020151248057966","1018840","D466527",""
"C00474189","N","2015","Q2","201507159000126462","17","F3","SB","STROIA, MATTHEW","NEW CASTLE","PA","16105","06/01/2015","500","P","GENERAL CAMPAIGN CONSULTING (JUNE 2015)","001","Administrative/Salary/Overhead Expenses","","GENERAL CAMPAIGN CONSULTING (JUNE 2015)","IND","4071520151247132594","1014660","SB17-EX355",""
"C00541011","A","2015","Q1","201507079000060910","17","F3","SB","VIRGIN AMERICA","BURLINGAME","CA","94010","03/25/2015","674.1","O","AIRFARE","","","X","SUBITEMIZATION OF MICHAEL BYRD(03/25/15)","ORG","4070720151246009642","1012523","B-S-38",""
"C00392738","N","2015","MY","201507309000467327","21B","F3X","SB","LEAHY, TIM","PORTLAND","OR","97203","04/29/2015","2313.46","","SALARY","001","Administrative/Salary/Overhead Expenses","","","IND","4073120151248138768","1019233","SB21B.8137",""
"C00532572","N","2015","MY","201507249000414367","21B","F3X","SB","US POSTAL SEVICES","ANNANDALE","VA","22003","05/27/2015","329","","POSTAGE","","","","","ORG","4072420151247905183","1017863","SB21B.4955",""
"C00409409","N","2015","Q2","201507159000181402","17","F3","SB","PETERSON, EVAN SCOTT","APPLE VALLEY","MN","55124","06/15/2015","2575.11","P","PAYROLL","","","X","","IND","4071720151247455067","1015390","D570288","D570269"
"C00493825","N","2015","Q2","201507160200193580","17","F3","SB","USPS","FORT LAUDERDALE","FL","333118135","04/07/2015","245","P","POSTAGE","","","","","","2072920151248022304","1018361","SB07281535801584",""
"C00344697","N","2015","Q2","201507159000229334","17","F3","SB","AMICA","LINCOLN","RI","028651156","04/01/2015","152.4","P","AUTO INSURANCE","","","","","ORG","4071620151247308432","1015689","VPEBZ9Z4725",""
"C00475392","N","2015","Q2","201507150200188937","17","F3","SB","GODADDY.COM","SCOTTSDALE","AZ","852606993","06/08/2015","252.55","P","WEBSITE HOSTING FEE","","","","","","2073020151248076142","1018669","SB0729158937188",""
"C00575795","N","2015","Q2","201507159000218843","23","F3P","SB","AMAZON","SEATTLE","WA","981093536","04/29/2015","799.96","P","OFFICE SUPPLIES","","","X","","ORG","4071720151247460751","1015585","D2757","D2048"
"C00458315","N","2015","Q1","15020139783","17","F3","SB","ARISTOTLE INTERNATIONAL, INC.","WASHINGTON","DC","200030000","02/04/2015","2100","P","SOFTWARE","","","","","","2042420151242287632","1005726","SB0424159783536",""
"C00430991","N","2015","Q2","201507159000186748","17","F3","SB","EZPASS - MTA","STATEN ISLAND","NY","103149001","06/29/2015","160","P","TRAVEL","","","X","","ORG","4071620151247298569","1015487","D671971","D670731"
"C00527457","N","2015","Q1","15970337261","17","F3","SB","STAPLES","MAYFIELD HTS","OH","441242905","03/24/2015","121.8","","TONER","001","Administrative/Salary/Overhead Expenses","","","ORG","4041320151241801049","1002153","B-E-6068",""
"C00413914","N","2015","Q1","15020150736","17","F3","SB","TWITTER","SAN FRANCISCO","CA","94102","03/16/2015","202.29","P","ONLINE ADVERTISING","004","Advertising Expenses","X","[MEMO ITEM]","","2050420151242414098","1006243","SB0501150736736",""
"C00195065","N","2015","Q1","15970348790","17","F3","SB","PAYPAL","SAN JOSE","CA","95131","02/27/2015","47.85","P","CREDITCARD DEBIT CHARGES","001","Administrative/Salary/Overhead Expenses","","","ORG","4042020151242081154","1003390","0092988",""
"C00508804","N","2015","Q2","201507159000221581","17","F3","SB","DROPBOX","SAN FRANCISCO","CA","94107","06/08/2015","75","","CLOUD DATA STORAGE","","","","","ORG","4071620151247304637","1015614","17-05-01048-01051",""
"C00466094","N","2015","MY","201507319000477921","21B","F3X","SB","THE GLOVER PARK GROUP, LLC (ADVANCE PAYMENT)","WASHINGTON","DC","20004","03/25/2015","-50","","DRAW ON ADVANCE PAYMENT FOR IN-KIND, SEE LINE 23","","","","","ORG","4073120151248145172","1019473","D569256",""
"C00027466","A","2015","M3","15020117787","21B","F3X","SB","WOLFE, KAITLYN","WASHINGTON","DC","20002","02/28/2015","941.77","","PAYROLL","","","","","IND","1041720150017358519","1004712","SB04171577871001",""
